,feelings,emotion,class_label
4777,miss time husband feeling rushed get back home relieve caregiver,anger,1
4778,felt humiliated belittled keyed trigger points made feel stupid inarticulate laughable flattened something passionate knowledgeable see place world,sadness,0
4779,feel important enough live worthy enough struggle longer one miss even care gone,joy,5
4780,feel lethargic sluggish absolutely notice night harder fall asleep,sadness,0
4781,literally text tychelle see wants hang reading wrote nonexistent social life made feel pathetic,sadness,0
4782,im feeling bit dull today href http thepage,sadness,0
4783,feel like always beaten sort evil people,sadness,0
4784,feel need generous offerings especially hunting fishing,love,4
4785,feel like proud mother watching child grow develop adult quite seriously business like child,joy,5
4786,mention feel ignored sad crappy birthdays reminds threw th birthday party,sadness,0
4787,feel rushed trying get everything together late night,anger,1
4788,feel entertainers talented williams become part lives,joy,5
4789,want natasha gan dress cos wear feel fab want blue suede boots colour ocean want want want need none stop going chadstone tonite tomorrow,joy,5
4790,convinced encouraged obedient commandments god done compassion love caring church family members leave us feeling abused trapped hopeless strengthened hopeful cherished god church,sadness,0
4791,motivated tired guilt making feel worthless,sadness,0
4792,also realized may feel fabulous days today proof im still right listeners,joy,5
4793,saw starving people ethiopia tv felt awful see suffering,anger,1
4794,really dont like attention feel pressured think topic talk,fear,2
4795,begun feel like teaching metier resigned fact likely wont teach university ever,sadness,0
4796,feel hot moms,love,4
4797,didnt want hurt feelings fond avoiding conflict situations arise,love,4
4798,currently feeling aggravated,anger,1
4799,id feel triumphant something,joy,5
4800,im totally digging band business last little feel like ive totally socially emotionally neglectful lot shit world,sadness,0
4801,feel funny thinking,surprise,3
4802,feel like admit always little bit weird little bit quirky taking seriously,surprise,3
4803,feel like greedy person liking two people,anger,1
4804,im feeling doodly playful artistic hungry puzzled trendy stellar wonderful,joy,5
4805,feel accepted long real pious uppity religious sake religion,joy,5
4806,feel curious one think might fall love uncle montagues tales terror,surprise,3
4807,know right feel like still th grade trying useful little legs let,joy,5
4808,really enjoy weekend feel naughty still getting results really nice treat,love,4
4809,child stole rmb grandfather maternal feel exceptionally wronged,anger,1
4810,feeling quite smug,joy,5
4811,ive borne witness suffering innocent children hands violent feel helpless trying make things better,sadness,0
4812,im feeling really hateful disgruntled job sure hope dont lose late,anger,1
4813,kept waking feeling glad dream would fall back asleep dream continuing,joy,5
4814,cant help feel aside like dick hobbs rebecca mcpherson im exactly popular guy school,joy,5
4815,mean feel bgr treasured dumped like people know going steady find dumped dump,love,4
4816,im feeling like casual dylan fans,joy,5
4817,feel drained totally exhausted today,sadness,0
4818,im currently phase feeling positive optimistic graduation though tends range daily basis euphoria deep deep depression bets ill feel tomorrow,joy,5
4819,feeling inspired write parody piece today much bad mood,joy,5
4820,love soft make hair feel gives hair lovely natural looking shine,love,4
4821,think like feels lively dorama,joy,5
4822,think im feeling sentimental right p aaaaand tis another work day tomorrow,sadness,0
4823,feeling irritable grumpy today came home lunch took nap,anger,1
4824,ive feeling restless career,fear,2
4825,feel fine,joy,5
4826,felt good feel fine today,joy,5
4827,feel deeply truly content,joy,5
4828,feeling grumpy sore,anger,1
4829,think anyone feels curious masala movies light entertainers,surprise,3
4830,love treadmill actually used actually feel intimidated running outside,fear,2
4831,feeling particularly bitchy dont think adequately expressed appreciation,anger,1
4832,feel terrified nervous normally would type situation,fear,2
4833,feel assaulted new kid whined,fear,2
4834,think feeling dissatisfied life,anger,1
4835,guess whole need hobby thing feel worthwhile smart important,joy,5
4836,feel outraged life easy blessed,anger,1
4837,posed cutesy vintage ways time feeling absolutely freaking fabulous,joy,5
4838,feel show success glad decided pg live may better get planning,joy,5
4839,feel glamorous shared,joy,5
4840,going around feeling like roundly abused poor tongue ravaged hops become think challenge think taste really physical sensation,sadness,0
4841,also hate feeling aggravated dont know supposed eat feel way often sound way,anger,1
4842,actually tell breathe breathe breathe feel absolutely terrified know go home life missed anymore,fear,2
4843,feel ecstatic longer belong school,joy,5
4844,feel quietly ecstatic painless change grocery expense,joy,5
4845,feeling incredibly blessed life given people god put,joy,5
4846,know feel im sorry,sadness,0
4847,feel lucky live warm home three people love,joy,5
4848,feel like watching show movie kids bed make sure hop elliptical spin bike least minutes show settle stretch night,joy,5
4849,went feel shaky,fear,2
4850,feel horrible someone somewhere theyve felt bad worse,sadness,0
4851,feel invigorated full ambition,joy,5
4852,feel kick move know ok,joy,5
4853,feel petty things extent humans seem feel wars started stupid little things try might understand things loving two people feeling jealous lead murder unhappiness,anger,1
4854,didnt feel surprised didnt feel upset didnt feel angry didnt feel anything,surprise,3
4855,feel love thank pagetitle popular news abc news u,joy,5
4856,typically respond feel offended,anger,1
4857,remember feeling surprised stunned writer stature quality lauren read one books long ago,surprise,3
4858,im clocking scale feel terrible,sadness,0
4859,grateful every one still made feel funny,surprise,3
4860,feel even empty,sadness,0
4861,also feel ungrateful hearing stories grandma people knew hospitals nursing homes one talk simple small talk huge step,sadness,0
4862,feel privileged amongst new culture learn new things,joy,5
4863,even attempting plan perfect week wont happen need make plan atleast get without feeling deprived mad,sadness,0
4864,know ive talked know eric talked thing happened mission like sometimes feel like get super overwhelmed stuff easy really hard mental game,joy,5
4865,beside see smiling feel funny,surprise,3
4866,strange feeling incredibly distressed,fear,2
4867,im feeling sorry think miss jimmy nothing yet thankful everything,sadness,0
4868,hadnt read blog guys feel thrilled know,joy,5
4869,knows boy makes feel weird yuuki doesnt know tell,surprise,3
4870,feel like regretful soul,sadness,0
4871,feel resigned lot life watch everyone else become parent,sadness,0
4872,view jesus human others feel weve encountered divine dont view superman,joy,5
4873,particularly much say works well particularly feel like something clever new,joy,5
4874,feel least smart,joy,5
4875,feel like thats cop safe people,joy,5
4876,always get questions blocking classes topic feel pretty passionately knitter teacher,joy,5
4877,meet date continue sources apathy worse people feel wronged whose confidence act bad faith,anger,1
4878,really dont feel sociable bar anymore,joy,5
4879,ive never huge holiday person definitely feel festive hopeful willing celebrate others joys,joy,5
4880,feel like teetering edge hoarding insanity comes beloved clothing,love,4
4881,feel like apothecary romeo juliet unfortunate comparison perhaps,sadness,0
4882,feel pretty time,joy,5
4883,feel honored shortlist congratulate wish nominees best tonights awards thank age scotland kindness div class intro style background color fff color font family trebuchet ms helvetica bitstream vera sans sans serif font size,joy,5
4884,feel like ive become relaxed parent,joy,5
4885,feel bit deprived typical experience,sadness,0
4886,worried feeling supposed church rich dr,joy,5
4887,feel excited nervous little bit sad,joy,5
4888,wonder feeling sentimental help agony writing report dues tomorrow,sadness,0
4889,guess sucker grand endless battle apparent good apparent evil different anyone else feels divine gift discernment situations like,joy,5
4890,feel sorry people affected,sadness,0
4891,didnt feel real emotional connection much character driven story,sadness,0
4892,feel like guilty sack shit,sadness,0
4893,cant begin think would feel morose doesnt even begin cover,sadness,0
4894,sudden feeling missed opportunity could asked evening going,sadness,0
4895,swear made feel lot better,joy,5
4896,shouldnt feel gloomy,sadness,0
4897,feel like love romantic comedies sort mixed tone woody allen work obviously jim brooks earl billy wilder films like apartment,love,4
4898,woke morning feeling content despite yesterday day involved mundane paperwork government bureaucrats revel,joy,5
4899,feel like could face day clung onto verse lord gracious compassionate started morning,love,4
4900,ive fallen asleep embracing person never book woke morning feeling kind awkward,sadness,0
4901,found make time quiet reflection even pause chaos feel god peace gentle comfort,love,4
4902,feel strange actually sitting beside people know,surprise,3
4903,feeling stubborn ridiculous possibly several colourful turns phrase children still asleep tip tongue settled heaving sigh turning leave,anger,1
4904,feel like rather loyal readers followers ever look blog,love,4
4905,fear people ask feelings reluctant talk things,fear,2
4906,feel dumb honest,sadness,0
4907,uncomfortable feeling actually important lesson learn,joy,5
4908,want feel anything want numb,sadness,0
4909,aware level unrest feeling uncertain sit,fear,2
4910,feel like weve living weird time warp like wednesday,fear,2
4911,remember sitting family room dallas watching story unfold new york many years ago feeling helpless,fear,2
4912,really feel stupid,sadness,0
4913,must say wonderful feeling makes feel submissive,sadness,0
4914,find feeling sentimental pretty much every day,sadness,0
4915,never realized awful mother feeling lack energy independence operation wimpy tired,fear,2
4916,feel sorry californians,sadness,0
4917,felt good way really feel tension punished day,sadness,0
4918,feel stumped something comes pen im always little amazed,surprise,3
4919,know feels like legitemately liked someone somehow got feel way trust takes alot want life,love,4
4920,feel study find indeed perfect example christian especially latter day saint,joy,5
4921,doubt theres greater reluctance federal authorities employ tear gas plain force feel threatened,fear,2
4922,read feel need read makes little grumpy,anger,1
4923,grateful feel energy life within body feel pleasant vibration hands feet body head,joy,5
4924,ill write soon cant wait hear everyone im feeling pretty homesick right,sadness,0
4925,feel important thing someone makes comfortable thats,joy,5
4926,feel safe beautiful appreciated,joy,5
4927,feel like dust shaken still settled,fear,2
4928,think maybe strongly feels brad looks really distracted,anger,1
4929,feel cluster fucked head,anger,1
4930,enjoy making people love feel treasured loved special day,love,4
4931,always feel profoundly worthwhile,joy,5
4932,feel damage aching joints headaches backaches etc,sadness,0
4933,always feel unimportant much always wonder people remember birthday,sadness,0
4934,used friend always always boyfriend didnt would get majorly depressed feel defective something think way mom always felt really bad,sadness,0
4935,read ol feefyefo space feel amazed much could blabber transparent life,surprise,3
4936,feel good defended sanctity span style webkit text size adjust auto webkit text stroke width px background color white color display inline,joy,5
4937,keep wondering im hitting walls grief loss even im fun feeling excited enjoying wonderful friends pre summer time experiences,joy,5
4938,want swept feet feel special rather told,joy,5
4939,heard way parent friend mistreated,anger,1
4940,worry feeling resentful woman work,anger,1
4941,still feel like get walked well trying,joy,5
4942,feeling little grumpy thinking everything needs get done flipping around way well ready roll sleeves write lists get work,anger,1
4943,thought type show feelings laughed convinced know happening beyond closed doors make conclusions,joy,5
4944,feel getting agitated constant noise chatter,fear,2
4945,must bring perspective equation consider would feel went week without calling phoned find youd missed final opportunity talk parent,sadness,0
4946,find chasing needles feeling stressed entire process,sadness,0
4947,feel bad anything,sadness,0
4948,feel like jaded cat whatever ever get nervous races done many care less,sadness,0
4949,neither ask deserve feel frightened kook puts danger reason,fear,2
4950,said eventually brings sugar contains said ends making feel groggy gives tummy ache also guilt feel afterwards,sadness,0
4951,feel beaten,sadness,0
4952,try make anyone feel uncomfortable,fear,2
4953,feel like take world even says wont afraid discouraged,fear,2
4954,spend life condemning others feel wronged people yet consequences strangely bitter,anger,1
4955,feel utterly dismayed favourite lloyd grossman product ditched,sadness,0
4956,bogged feelings unloved ends making feel worthy love showered upon feel love joy feel deep within unworthy,sadness,0
4957,feel welcomed,joy,5
4958,feel louis vuitton took court instance ebay buy fake lv anymore well purpose,sadness,0
4959,want passed away feeling good brother grandparents,joy,5
4960,im feeling lately vulnerable impressionable little emotional,fear,2
4961,asked anyone ever confessed feelings someone got accepted rejected,joy,5
4962,ive tried tried every single person hang feel like everything fake,sadness,0
4963,im stuck feeling hopeless time,sadness,0
4964,im feeling hesitant put much else words,fear,2
4965,feel horrible wanting sonipro amp source geekparty linkedin target blank title share tumblr rel nofollow href http www,sadness,0
4966,started feel fine sleep wouldnt come,joy,5
4967,feel like im loving even im working appreciate every snuggle feeding little since miss much im gone,love,4
4968,tell little much hate feeling needy hate moment know ive become attached head,sadness,0
4969,feel like ive hated series lot since ive started blogging little honesty order,sadness,0
4970,trusted mike deeply personal information feelings delighted seeing trust rewarded pragmatic advice practical outcomes,joy,5
4971,feel pretty relieved psyched actually got see something penn said members production team sifted mounds trash pulling boxes games atari products,joy,5
4972,feel longer things look cool,joy,5
4973,ive always giver taker feel selfish considering idea,anger,1
4974,feel adventurous willing take risks img src http cdn,joy,5
4975,left feeling numb shaky,sadness,0
4976,could continue feeling awful crying friends focus wronged end feeling worse,sadness,0
4977,feel honored grateful wonderful people entrusted us beautiful boy son,joy,5
4978,feel apprehensive opening blue door,fear,2
4979,wander depths markets feeling curious,surprise,3
4980,im going gush much relationship know im feeling content days,joy,5
4981,feel humiliated choose believe somehow janis sanders see words know get away abusing others,sadness,0
4982,feel completely worthless,sadness,0
4983,feel remorseful ready die look mirror,sadness,0
4984,definetly need feeling quite lethargic,sadness,0
4985,im feeling determined face facts gander donut href http,joy,5
4986,feel little bashful,fear,2
4987,feel assured bet know relate,joy,5
4988,feel frustrated sometimes mac lipsticks read names open select shade,anger,1
4989,fit never despite fact gave option would still choose outsider combined lack creativity originality dare say utter conformity student body makes feel depressed,sadness,0
4990,feel unpleasant time long,sadness,0
4991,think finally articulate prius shiny happy al gore wearing patagonia alaska way somewhat insidious makes driving feel like virtuous act,joy,5
4992,im feeling much optimistic coming en route,joy,5
4993,dont know easier mental illness watch someone love battle today think hardest thing feeling helpless stop,sadness,0
4994,know pair socks took two months make feel truly truly distracted strings like call,anger,1
4995,feel frantic beat heart cookie voice surprisingly clear,fear,2
4996,lectures,joy,5
4997,feel little lighter spirit knew neither warrick despised incredible naivety stupidity,anger,1
4998,run feel threatened insecure,fear,2
4999,liked ending feel like little bit rushed,anger,1
5000,feeling rather artistic felt like sharing artwork,joy,5
5001,feel like project actually help pick valuable car decent looking well efficient everyday use,joy,5
5002,say makes difference parent open easy talk teacher really feel perfect fit child,joy,5
5003,feel happy enjoying changes life looking forward unknown good times yet come autumn winter suddenly new steps journey,joy,5
5004,feeling pretty low joan saw disappointment lifted spirit corinthians,sadness,0
5005,couldnt help feeling little envious treats body power people might store demonstrations super strength perfect specimens glistening accentuating oil exercise gear seen,anger,1
5006,feel troubled also terrified minute partner view hundreds white jackets obtain caught surgeons evaluating area sterile clean smelling brimming numerous devices,sadness,0
5007,hide secret inside away everyone feel ashamed like assistance making better,sadness,0
5008,dont know cans trust dont know feels trusting,joy,5
5009,feel greedy wanting see film series continue,anger,1
5010,admit feel little irate well control,anger,1
5011,dont yeast infection vagina could feeling irritated yeast due diet stop eating lots sugary foods,anger,1
5012,cant help feel hadnt selfish could sheltered feeling way,anger,1
5013,plagued awkward feelings charming tale charming gal named,joy,5
5014,feel lively,joy,5
5015,swung feeling resentful others need feeling ashamed angry able better daughter sister friend citizen,anger,1
5016,feel determined regain routine proud,joy,5
5017,feel alarmed,fear,2
5018,feel extremely honoured flattered turning advice matter hope help decision,joy,5
5019,years old one time knowing dad wasnt coming home worst feeling ever felt ive hated since wont ever change,anger,1
5020,came quarter feeling really invigorated work im back end spring quarter sleeping eating well taking care good work,joy,5
5021,would feel ungrateful didnt thank know,sadness,0
5022,feel glamorous rich enough enriching perfume collection even haha,joy,5
5023,feel like try try relationship traditions people care get damaged,sadness,0
5024,phone tech support today turns something common guy phone thoughts feelings curious world,surprise,3
5025,may feel uncomfortable want give,fear,2
5026,feel like much sure much im overwhelmed unhappy enjoying time family,joy,5
5027,feeling stunned sad earthquake christchurch new zealand yesterday,surprise,3
5028,also suspect like feel like want die reluctant share information anyone freaking scary,fear,2
5029,would like experience wished depart others lay relieve odd sense nausea avoid make anyone feel bad brought restaurant first place,sadness,0
5030,im feeling longing urge create something,love,4
5031,feel way know reputation student population eager join culture somehow doubt northwestern,joy,5
5032,use moments opportunity feel radiant beautiful soul hidden long behind walls,joy,5
5033,ive feeling helpless since superstorm sandy hit one favorite places world suspect lot share feeling,fear,2
5034,feel much many pages many descriptions stars many supporting characters,love,4
5035,feel sincere,joy,5
5036,feel strange rel bookmark november href http eagleandhammer,surprise,3
5037,feel curious reserved habits nothing else,surprise,3
5038,may feel amazing time capable much lighting another cigarette,joy,5
5039,start feeling crappy toss bam singing dancing shimmy ing shoulders like whitney,sadness,0
5040,hopped scale morning feeling none optimistic,joy,5
5041,even feel still feel gloomy moody till,sadness,0
5042,feeling tad lonely absence,sadness,0
5043,feel resentful show resentment eating tempura sundaes,anger,1
5044,get feeling miserable narrator pining ex lover dreaming return wonders whether unlock door case come way drink dancing,sadness,0
5045,feel like would direction would still feel innocent,joy,5
5046,believe happy healthy relationships likely feel much energized inspired reflected overall health appearance,joy,5
5047,didnt feel tragic estrangement superman family perhaps playing perhaps unlike batman already one,sadness,0
5048,feel amazed world,surprise,3
5049,feel absolutely assured informing need get hands set,joy,5
5050,feel make one mistake everything shatter like delicate crystal flower slipped grasp,love,4
5051,feel cold,anger,1
5052,may bit late year im feeling festive sat fire imagination actually hot radiator,joy,5
5053,admittedly feel like crap want sleep day cranky want yell everyone,anger,1
5054,feel popular today,joy,5
5055,feel gloomy desperately seek affection,sadness,0
5056,feel like trusting driver,joy,5
5057,find things effecting loved ones love dearly feel helpless remedy hard times,sadness,0
5058,dont know guys certainly feel fabulous,joy,5
5059,feel honoured opportunity look forward future lives develop,joy,5
5060,remember feeling annoyed also wondering stop buy something,anger,1
5061,im feeling slightly empty right want reach hand someone anyone hold,sadness,0
5062,fair skinned feel gives lovely highlight pale skin without looking like mass glitter,love,4
5063,talk lot majority time spent work work feeling generally unhappy lonely frustrated even little bitter past events go away,sadness,0
5064,think made known feel cold weather friends ready winter finished please please finished,anger,1
5065,im probably least talkative person group always feel glad going even intense uncomfortable feel vulnerable,joy,5
5066,feel verge tears weariness look sweet face cant help tenderly kiss cheeks,joy,5
5067,get conversations regret start feel exhausted fifteen minutes something sounds like something feels like peas carrots peas carrots mush mush mush,sadness,0
5068,feeling awful felt like pushing really hard maintain pace sounded really slow,sadness,0
5069,always feel little ashamed american history knowledge like learn,sadness,0
5070,challenged clip richard gere gives julia roberts money buy pretty clothes walks expensive boutique work clothes condescending staff refuse serve leave feeling humiliated,sadness,0
5071,going crazy leas feeling pleasent fearful,fear,2
5072,felt lost half time feel numb,sadness,0
5073,feel less burdened way,sadness,0
5074,seen theres something set makes feel glad,joy,5
5075,feel gracious freaking finances saw fit smooth things monetarily say,joy,5
5076,want feel uncertain unsettled deserves maybe itll teach lesson,fear,2
5077,feel guilty dont need constantly check,sadness,0
5078,distinct sickening feeling paused glancing kakashi rest eager audience going regret,joy,5
5079,feel like strange antisocial creature difficult cooperation,surprise,3
5080,really feel like never love never affectionate doesnt love,love,4
5081,may feel bit gloomy,sadness,0
5082,feel absolutely loved,love,4
5083,get feeling telling peter many people surprised,surprise,3
5084,personally feel every rapist punished rigorously hanged,sadness,0
5085,feel terrible even remember girls came pray last night,sadness,0
5086,feel write truly innocent even though quite bit feeling involved,joy,5
5087,feel manifesting strange ways,fear,2
5088,wonder feeling complacent result laziness,joy,5
5089,mean didnt feel like one felt like casual outing meeting catch,joy,5
5090,think significant feeling left week deeply privileged live live,joy,5
5091,feel ive loyal,love,4
5092,feel damaged gt gt gt religion let happen children mine,sadness,0
5093,spent wednesday feeling miserable,sadness,0
5094,feel like ever anymore internet bitch kid seriously im amazed many children survive toddlerhood,surprise,3
5095,really feel kids tortured highschool,fear,2
5096,feeling going start popping primetime innocent kid potential murderer face,joy,5
5097,sick feeling worthless useless miserable,sadness,0
5098,predict takes deal situation feel safe,joy,5
5099,started develop feelings scared freaked promised safe,fear,2
5100,pounds feel fantastic shocked discovered going past year,joy,5
5101,feel disheartened,sadness,0
5102,feel memories precious glad,joy,5
5103,got shots many likely angles could feeling like moronic tourist deciding care,sadness,0
5104,feel time devoted scheduling instead actually making center top notch,love,4
5105,im feeling bit apprehensive dont know little note cards stand mass talent etsy,fear,2
5106,feel distraught thankful weather improving much,fear,2
5107,ran despite feeling rotten glad well really want better,sadness,0
5108,definitely feeling festive vibe busy christmas things mince pies much british xmas goodie never heard met husband well maybe song,joy,5
5109,assume feeling cold like water frozen plenty feed though eschew favor foraging scratch,anger,1
5110,feel like total bitchy person today yay,anger,1
5111,feel palate jaded types take natural wine lighter styles messianic quest reveal true nature great wine,sadness,0
5112,feel little tortured lost,anger,1
5113,feel super strong see biceps left arm shaping,joy,5
5114,feeling excited also nervous worrying little details hoping first day goes well,joy,5
5115,stories week decide separated feelings longer introducing little sprinkling delicious feelings right away,joy,5
5116,professional historian means may feel left important things took context,joy,5
5117,dont know every time feel like someone favor time start feel burdened stressed,sadness,0
5118,woke saturday feeling glad saturday work week behind,joy,5
5119,havent exactly gone spin around block yet since id feel strange strapping teddy bear place baby looks nice sturdy like trick,fear,2
5120,wanting write secret life live one handful people know one keep secret one feel embarrassed even though know perfectly human normal deep feel right,sadness,0
5121,one close friends saying didnt like way nice people dont know,anger,1
5122,would feel resentful toward patrick couldnt read avery nightly books,anger,1
5123,im feeling regretful tonight,sadness,0
5124,im feeling helpless clueless homesick,fear,2
5125,wandering around santa cruz thinking last time seeing meaningful streets squares shops caf spent much time friends makes feel almost heartbroken,sadness,0
5126,im finally looking forward toes kissing sand feeling free,joy,5
5127,ive two shots lupron im feeling fine,joy,5
5128,im deep budget spreadsheet feel im someplace dont creative work,joy,5
5129,hear whir motor feel stir cool air,joy,5
5130,feel though somehow shes become less likeable,joy,5
5131,still feel bit overwhelmed,fear,2
5132,might potential job line feeling generous,joy,5
5133,hope always remain grateful even feeling little unsure endeavors,fear,2
5134,know would enjoy books still remember feeling enthralled characters amish lifestyle presented,surprise,3
5135,feeling amazed didnt find good commented,surprise,3
5136,hope soon wont feel like stupid slut,sadness,0
5137,feel heart definately idiotic mind,sadness,0
5138,feel matter convinced alone life journey mine alone,joy,5
5139,argue disabled mda telethon makes feel take away want respected,joy,5
5140,im feeling pretty depressed think spiraling,sadness,0
5141,im feeling insecure sad dont know book,fear,2
5142,sure know come feeling little tender,love,4
5143,didnt sleep quite well last night still feel quite energetic morning,joy,5
5144,agonised writing review book words dont seem flow feel somehow inadequate task,sadness,0
5145,feel curious excited impatient,surprise,3
5146,im big city solo im afraid going six days wandering around lost six days feeling uncomfortable six days knowing dress six days knowing six days knowing eat six days disaster disaster disaster,fear,2
5147,never thought could feel thankful awful thing making stronger even husband gets weaker,joy,5
5148,heavy feel dull think stopped breathing,sadness,0
5149,feel defeated loss confused,sadness,0
5150,im feeling particularly sentimental go bookstore books sold pace distance books displayed shelf,sadness,0
5151,view way growing people constantly made feel like wasnt good enough,joy,5
5152,feel absolutely stumped floor dance charming gentle specially continental feeling purely mental heaven rest us asbestos dance,joy,5
5153,feel sorry subjects tend let go soon,sadness,0
5154,love feel blessed spend another year,love,4
5155,im feeling generous heres holiday classic iframe allowfullscreen frameborder height src http www,love,4
5156,imagine end might feel like fully loving,love,4
5157,also feel strongly supporting local economy past years proud driven gm cars gm community,joy,5
5158,feeling insatiably curious want read learn digital media social marketing,surprise,3
5159,feel slowly caring living peoples standards comes aesthetics present,love,4
5160,dont really connect main character anything fact feel like almost innocent,joy,5
5161,feel little confident school,joy,5
5162,get saying feel somewhat remorseful kind friend giving kind support wanted needed throughout past years friendship oh yes goes back far,sadness,0
5163,learned much even still learn new things rabbits feel always keep learning amazed,surprise,3
5164,chose innocent worlds alphabet rose jsk longer length longer lengths lolita dresses always feel casual innocent knee length styles reminds jane austen,joy,5
5165,think last week softball im likely going suck least try play feel absolutely rotten going see aggressive hydration,sadness,0
5166,feel divine future seconds advance,joy,5
5167,feel everythings resolved psychically galvanised prepared wrestle world ground,joy,5
5168,im feeling listless,sadness,0
5169,feel innocent want hurt anyone,joy,5
5170,didnt even time feel jealous busy pinning pictures writing href http nanashi,anger,1
5171,pay bills still cash bank leave feeling pretty satisfied right,joy,5
5172,feel heartbroken one middle aged woman told pyongyang state run media,sadness,0
5173,notice enjoyable moments even enjoyable recognize far feelings get horrible sensation get something bad happens,sadness,0
5174,start feeling anxious,fear,2
5175,want feel humiliated guilty,sadness,0
5176,always feel bit anxious preceptor still learning,fear,2
5177,appreciate award feel many wonderful blogs winners,joy,5
5178,feel hopeful like gleefully roasting marshmallows fireplace like abc family original movie,joy,5
5179,realize extremely grateful act kindness lord feeling quite distressed moment,fear,2
5180,feel like one person life miserable best,sadness,0
5181,feel like im taking care needy puppy living mother,sadness,0
5182,im feeling annoyed add dont feel important whatever shit anymore,anger,1
5183,feel annoyed kind people comment try philosophy religion,anger,1
5184,im feeling little melancholy tonight kinda like paint door,sadness,0
5185,know luh feeling damn awkward,sadness,0
5186,arriving new zealand teenager first overseas trip something exhilarating change scenery etc,joy,5
5187,feel like want stop think wimpy muscle less sister tough mudder,fear,2
5188,feel ease moments last nights troubled,sadness,0
5189,guess feel fulfill artistic pursuits certainly time economy picks,joy,5
5190,think came weird catholic way raised feel ashamed sex,sadness,0
5191,speaking right know lot people feel drained non closure occurs never get done something,sadness,0
5192,thinking working towards long time become something feel even passionate last year,love,4
5193,feel fucked church fuck luminaries swinelord back deluxe r,anger,1
5194,im still feeling little hesitant plunging multitude colored pencils nonetheless,fear,2
5195,feel dull many time headache many time insomnia,sadness,0
5196,feeling adventurous buy k ji kin spores mailorder make kome k ji using rice choice,joy,5
5197,feel like sociable anymore,joy,5
5198,im emo ing haha feeling happy instead able meet,joy,5
5199,havent feeling bouncy lately ive quietly keeping head til phase passes hence almost complete absence lj,joy,5
5200,sit feeling generally satisfied lean bench take cigarette georges lit asks ya feel man,joy,5
5201,aint feeling carefree deffinately worrying self,joy,5
5202,feel less shitty,sadness,0
5203,want much leave feeling awkward times,sadness,0
5204,get bottom feeling berate feeling dissatisfied,anger,1
5205,feel virtuous made dinner tonight,joy,5
5206,often feel disappointed decisions call names,sadness,0
5207,feel listless,sadness,0
5208,im already feeling terrific,joy,5
5209,gigantic spider climbed face flat,anger,1
5210,im still feeling incredibly overwhelmed entire situation,surprise,3
5211,ive ever written although im gon na reproduce full boring academic references also specifically analyses several prominent bloggers treatment romantic relationships id feel weird putting internet,surprise,3
5212,always feel need break awkward silences makes even awkward,sadness,0
5213,know works asking divine assistance certainly makes us feel graceful even situation remains,joy,5
5214,opened first window whilst listening certain mariah carey christmas classic radio im feeling pretty festive morning,joy,5
5215,im feeling really stressed today state house,sadness,0
5216,feel like designers shy away using color kitchen love julia incorporated bright splashes orange blue green throughout space,fear,2
5217,feel like awkward outsider start feel homesick,sadness,0
5218,really feel bothered honest,anger,1
5219,cant explain proud feeling seeing determined time win,joy,5
5220,feel triumphant deal,joy,5
5221,worse justified feel needy man street suddenly represents threat peace freedom,sadness,0
5222,still feel terribly devastated,sadness,0
5223,woke feeling amazed realized dream still dream,surprise,3
5224,feel usually people may easily subdue longing ones even,love,4
5225,wearing feeling confident,joy,5
5226,feel though capacity love others show love loved share grown dramatically,love,4
5227,feel little comes divine center,joy,5
5228,need feel like time valuable,joy,5
5229,need get back work rewriting introduction feel woeful inadequate writing ill make short,sadness,0
5230,guess could say teeter totering right edge feel like im dangerous,anger,1
5231,feel like hitting sweet spot ds going rd grade ds going st dd headed last year preschool,love,4
5232,feel like ya maybe dumb weird strange,sadness,0
5233,longer angst inside kind yelping passion feeling wronged drove initial connection emo,anger,1
5234,feel unloved hes god choice whatever wantd,sadness,0
5235,feel like ive shaken around thrown,fear,2
5236,think common feel helpless times like,sadness,0
5237,feel like long enough would emotions back b c could either stressed people cant hide emotions would support back feeling would safe esp without uw school work,anger,1
5238,im feeling mellow side today,joy,5
5239,feel treasured feel loved feel ive done pursue craft adore make living fulfil real ambition ive ever becoming professional writer,love,4
5240,always loved jobs loved work truly feel like back patients co workers lot good even weeks,joy,5
5241,feel empty href http uwilnevrknow,sadness,0
5242,could used blog post one perfectly describes way feel well give tribute,joy,5
5243,also came away injury free feeling amazing throughout entire race,surprise,3
5244,feel honored know,joy,5
5245,pass left side would occasionally reset weaker leg gets put half guard feel comfortable taking back mount,joy,5
5246,ill even come one people small piece dark chocolate feel completely satisfied gone,joy,5
5247,absolutely refuse feel insecure look anymore,fear,2
5248,always liked winter season feel im well adapted cold weather,joy,5
5249,feel never thank enough helping girl troubled past become today,sadness,0
5250,knew would feel empty would potential feel like wasnt well wasnt passing folks,sadness,0
5251,even feel surprised dark outside,surprise,3
5252,tell really feel understand supporting someone doesnt mean lie,love,4
5253,admit feeling agitated hubby asked want join drink agreed,anger,1
5254,feel fucking lame saying however immature may something imagine imagined time,sadness,0
5255,love tango family sometimes especially feeling ugly awkward like outsider need something tango get know everyone milonga,sadness,0
5256,guess constantly feeling unhappy around person sign remove person life,sadness,0
5257,feel tortured sense wrong,fear,2
5258,find feeling irritable depleted run mental checklist worked,anger,1
